variable,desc,alias,level,section,scale,subscale,aggregate,aggregate_ref,type,required,condition,sum_type,MAX,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9
Q_032_l,Estado de la acera - Lado izquierdo,seg_acera_estado_izq,segment,sidewalks,sidewalk_negative,good_sidewalk_quality,,Q_032_NEG,option,TRUE,,negative,,A=0:Muy Bueno,B=0:Bueno,C=0:Regular,D=1:Malo,E=1:Muy Malo,,,,
Q_032_r,Estado de la acera - Lado derecho,seg_acera_estado_der,segment,sidewalks,sidewalk_negative,good_sidewalk_quality,,Q_032_NEG,option,TRUE,,negative,,A=0:Muy Bueno,B=0:Bueno,C=0:Regular,D=1:Malo,E=1:Muy Malo,,,,
### Obstacles,,,,,,,,,,,,,-2,,,,,,,,,
Q_047_OBS,Obstáculos,seg_acera_obstaculos,segment,sidewalks,sidewalk_negative,obstacles,TRUE,,numeric,TRUE,,negative,-2,"(>=0, <=0)=0","(>0,<=1)=-1",(>1)=-2,*=0,,,,,
Q_047,No. de obstáculos Salvables,seg_acera_num_obstacules_perm_salv_izq,segment,sidewalks,sidewalk_negative,obstacles,TRUE,Q_047_OBS,formula,TRUE,,negative,,[value] * 0.5,,,,,,,,
Q_047_l,No. de obstáculos Permanentes Salvables - Lado izquierdo,seg_acera_num_obstacules_perm_salv_izq,segment,sidewalks,sidewalk_negative,obstacles,,Q_047,formula,TRUE,,negative,,[value],,,,,,,,
Q_047_r,No. de obstáculos Permanentes Salvables - Lado derecho,seg_acera_num_obstacules_perm_salv_der,segment,sidewalks,sidewalk_negative,obstacles,,Q_047,formula,TRUE,,negative,,[value],,,,,,,,
Q_049_l,No. de obstáculos Temporales salvables - Lado izquierdo,seg_acera_num_obstacules_temp_salv_izq,segment,sidewalks,sidewalk_negative,obstacles,,Q_047,formula,FALSE,,negative,,[value],,,,,,,,
Q_049_r,No. de obstáculos Temporales salvables - Lado derecho,seg_acera_num_obstacules_temp_salv_der,segment,sidewalks,sidewalk_negative,obstacles,,Q_047,formula,FALSE,,negative,,[value],,,,,,,,
Q_048,No. de obstáculos Insalvables,seg_acera_num_obstacules_perm_salv_izq,segment,sidewalks,sidewalk_negative,obstacles,TRUE,Q_047_OBS,formula,TRUE,,negative,,[value],,,,,,,,
Q_048_l,No. de obstáculos Permanentes Insalvables - Lado izquierdo,seg_acera_num_obstacules_perm_insalv_izq,segment,sidewalks,sidewalk_negative,obstacles,,Q_048,formula,TRUE,,negative,,[value],,,,,,,,
Q_048_r,No. de obstáculos Permanentes Insalvables - Lado derecho,seg_acera_num_obstacules_perm_insalv_der,segment,sidewalks,sidewalk_negative,obstacles,,Q_048,formula,TRUE,,negative,,[value],,,,,,,,
Q_050_l,No. de obstáculos Temporales Insalvables - Lado izquierdo,seg_acera_num_obstacules_temp_insalv_izq,segment,sidewalks,sidewalk_negative,obstacles,,Q_048,formula,FALSE,,negative,,[value],,,,,,,,
Q_050_r,No. de obstáculos Temporales Insalvables - Lado derecho,seg_acera_num_obstacules_temp_insalv_der,segment,sidewalks,sidewalk_negative,obstacles,,Q_048,formula,FALSE,,negative,,[value],,,,,,,,
### Vehicle ramps ,,,,,,,,,,,,,-2,,,,,,,,,
Q_021_SEG,Número de Rampas Vehiculares,seg_vehicle_ramps,segment,sidewalks,sidewalk_negative,obstacles,TRUE,,num_in_parcels,FALSE,,negative,-2,"(>=0, <=1)=0","(>1,<=5)=-1",(>5)=-2,*=0,,,,,
Q_021,Rampas vehiculares,build_vehicle_ramps,parcel,sidewalks,sidewalk_negative,obstacles,,Q_021_SEG,bool,TRUE,,positive,,True=1,False=0,,,,,,,
### Sidewalk width negativo,,,,,,,,,,,,,2,,,,,,,,,
Q_030,Ancho de Acera,seg_acera_ancho,segment,sidewalks,sidewalk_positive,sidewalk_existence,TRUE,,numeric,TRUE,,positive,2,"(>0, <=1)=-1",(>=2)=-2,*=0,,,,,,
Q_030_l,Ancho acera - Lado izquierdo,seg_acera_ancho_izq,segment,sidewalks,sidewalk_positive,sidewalk_existence,,Q_030,numeric,TRUE,,positive,,(<1.5)=1,*=0,,,,,,,
Q_030_r,Ancho acera - Lado derecho,seg_acera_ancho_der,segment,sidewalks,sidewalk_positive,sidewalk_existence,,Q_030,numeric,TRUE,,positive,,(<1.5)=1,*=0,,,,,,,
### Buffer negativo,,,,,,,,,,,,,2,,,,,,,,,
Q_033,Buffer seguridad de Acera,seg_acera_buffer,segment,sidewalks,sidewalk_positive,sidewalk_buffer,TRUE,,numeric,TRUE,if( Q_066 >= 50 ),positive,2,"(>0, <=1)=-1",(>=2)=-2,*=0,,,,,,
Q_033_l,Buffer seguridad - Lado izquierdo,seg_acera_buffer_izq,segment,sidewalks,sidewalk_positive,sidewalk_buffer,,Q_033,numeric,TRUE,,positive,,(>0)=0,*=1,,,,,,,
Q_033_r,Buffer seguridad - Lado derecho,seg_acera_buffer_der,segment,sidewalks,sidewalk_positive,sidewalk_buffer,,Q_033,numeric,TRUE,,positive,,(>0)=0,*=1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# BUILDING AESTHETICS AND DESIGN,,,,,,,,,,MAX=,,,8,MIN=,-3,,,,,,,
## Building Aesthetics and Design Positive,,,,,,,,,,MAX=,,,8,,,,,,,,,
### Windows,,,,,,,,,,,,,2,,,,,,,,,
Q_022_SEG,Proporción de construcciones con ventanas,windows_build_proportion,segment,building,building_positive,windows,TRUE,,proportion_building,TRUE,,positive,2,"(>0, <=0.25)=0","(>0.25, <=0.75)=1",(>0.75)=2,*=0,,,,,
Q_022,Ventanas,build_windows,parcel,building,building_positive,windows,,Q_022_SEG,numeric,TRUE,,positive,,(>0)=1,,,,,,,,
### Doors,,,,,,,,,,,,,1,,,,,,,,,
Q_019_SEG,Proporción de construcciones con puertas,doors_build_proportion,segment,building,building_positive,doors,TRUE,,proportion_building,TRUE,,positive,1,"(>0, <=0.50)=0",(>0.50)=1,*=0,,,,,,
Q_019,Doors,build_doors,parcel,building,building_positive,doors,,Q_019_SEG,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
### Transparency,,,,,,,,,,,,,2,,,,,,,,,
Q_024_SEG,Proporción de construcciones con cerramiento transparente o semi transparente,transparency_build_proportion,segment,building,building_positive,doors,TRUE,,proportion_building,TRUE,,positive,2,"(>0, <=0.25)=0","(>0.25, <=0.75)=1",(>0.75)=2,*=0,,,,,
Q_024,Transparencia,build_transparency,parcel,building,building_positive,doors,,Q_024_SEG,option,TRUE,,positive,,A=1:Transparente:,B=1:Semitransparente,C=0:Opaco,*=0,,,,,
### Vegetation,,,,,,,,,,,,,2,,,,,,,,,
Q_025_SEG,Proporción de lotes con vegetación,transparency_parcel_proportion,segment,building,building_positive,vegetation,TRUE,,proportion_parcels,TRUE,,positive,2,"(>0, <=0.25)=0","(>0.25, <=0.75)=1",(>0.75)=2,*=0,,,,,
Q_025,Vegetation,build_vegetation,parcel,building,building_positive,vegetation,,Q_025_SEG,option,TRUE,,positive,,A=1:Con vegetación,B=0:Sin vegetación,*=0,,,,,,
### Building maintenance,,,,,,,,,,,,,1,,,,,,,,,
Q_023_SEG,Proporción de lconstrucciones bien mantenidas,maintenance_build_proportion,segment,building,building_positive,building_maintenance,TRUE,,proportion_building,TRUE,,positive,1,"(>=0, <=0.75)=0",(>0.75)=1,*=0,,,,,,
Q_023,Construcciones bien mantenidas,build_maintenance,parcel,building,building_positive,building_maintenance,,Q_023_SEG,option,TRUE,,positive,,A=1:Bueno (76-100%),B=0:Regular (51-75%),C=0:Malo,D=0:Precario,E=0:N/S o N/A,,,,
## Building Aesthetics and Design Negative,,,,,,,,,,MAX=,,,-3,,,,,,,,,
### Blind walls - Blind walls are segments of the street where less than 10% of buldings have windows at the street level,,,,,,,,,,,,,-1,,,,,,,,,
Q_022_SEG_NEG,Proporción de construcciones sin ventanas,windows_build_proportion_neg,segment,building,building_negative,windows,TRUE,,proportion_building,TRUE,,negative,-1,(<0.10)=-1,*=0,,,,,,,
Q_022,Ventanas,build_windows,parcel,building,building_negative,windows,,Q_022_SEG_NEG,numeric,TRUE,,positive,,(>0)=1,*=0,,,,,,,
### Poorly maintained buildings - If more than 50% of buildings are poorly or very poorly mainateined,,,,,,,,,,,,,-1,,,,,,,,,
Q_023_SEG_NEG,Proporción de lconstrucciones mal mantenidas,poorly_maintenance_build_proportion,segment,building,building_negative,building_maintenance,TRUE,,proportion_building,TRUE,,negative,-1,"(>0, <0.5)=0",(>=0.5)=-1,*=0,,,,,,
Q_023,Construcciones bien mantenidas,poorly_build_maintenance,parcel,building,building_negative,building_maintenance,,Q_023_SEG_NEG,option,TRUE,,positive,,A=0:Bueno (76-100%),B=0:Regular (51-75%),C=1:Malo,D=1:Precario,E=0:N/S o N/A,,,,
### Empty lots - More than 25% of the segment lots are empty = 1,,,,,,,,,,,,,-1,,,,,,,,,
Q_017_SEG_NEG,Proporción de lotes vacíos en el segmento,empty_lots_proportion,segment,building,building_negative,empty_lots,TRUE,,proportion_parcels,TRUE,,negative,-1,(>=0.25)=-1,*=0,,,,,,,
Q_017,Empty Lots,empty_lots,parcel,building,building_negative,empty_lots,,Q_017_SEG_NEG,numeric,TRUE,,positive,,(<1)=1,*=0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Intersections,,,,,,,,,,MAX=,,,14,MIN=,-12,,,,,,,
## Intersections Positive,,,,,,,,,,MAX=,,,14,,,,,,,,,
### Signage,,,,,,,,,,,,,4,,,,,,,,,
Q_008,Semaforo - Inicial,seg_semaforo_ini,segment,intersections,intersections_positive,signage,TRUE,,numeric,TRUE,,positive,2,"(>=1, <=6)=1",(>=7)=2,*=0,,,,,,
Q_008a,Semáforo vehicular - Inicial,seg_semaforo_vehicular_ini,segment,intersections,intersections_positive,signage,,Q_008,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_008b,Semáforo peatonal - Inicial,seg_semaforo_peatonal_ini,segment,intersections,intersections_positive,signage,,Q_008,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_008c,Temporizador - Inicial,seg_semaforo_temporizador_ini,segment,intersections,intersections_positive,signage,,Q_008,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_008d,Pulsador - Inicial,seg_semaforo_pulsador_ini,segment,intersections,intersections_positive,signage,,Q_008,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_008e,Sonido - Inicial,seg_semaforo_sonido_ini,segment,intersections,intersections_positive,signage,,Q_008,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_008f,Senal de pare - Inicial,seg_semaforo_pare_ini,segment,intersections,intersections_positive,signage,,Q_008,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_008g,Senal de paso peatonal - Inicial,seg_semaforo_paso_peatonal_ini,segment,intersections,intersections_positive,signage,,Q_008,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_077,Semaforo - Final,seg_semaforo_fin,segment,intersections,intersections_positive,signage,TRUE,,numeric,TRUE,,positive,2,"(>=1, <=6)=1",(>=7)=2,*=0,,,,,,
Q_077a,Semáforo vehicular - Final,seg_semaforo_vehicular_fin,segment,intersections,intersections_positive,signage,,Q_077,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_077b,Semáforo peatonal - Final,seg_semaforo_peatonal_fin,segment,intersections,intersections_positive,signage,,Q_077,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_077c,Temporizador - Final,seg_semaforo_temporizador_fin,segment,intersections,intersections_positive,signage,,Q_077,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_077d,Pulsador - Final,seg_semaforo_pulsador_fin,segment,intersections,intersections_positive,signage,,Q_077,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_077e,Sonido - Final,seg_semaforo_sonido_fin,segment,intersections,intersections_positive,signage,,Q_077,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_077f,Senal de pare - Final,seg_semaforo_pare_fin,segment,intersections,intersections_positive,signage,,Q_077,bool,TRUE,,positive,,True=1,False=0,,,,,,,
Q_077g,Senal de paso peatonal - Final,seg_semaforo_paso_peatonal_fin,segment,intersections,intersections_positive,signage,,Q_077,bool,TRUE,,positive,,True=1,False=0,,,,,,,
### Crossing design,,,,,,,,,,,,,6,,,,,,,,,
Q_007,Extensión de acera Inicial,seg_ext_acera_ini,segment,intersections,intersections_positive,crossing_design,,,bool,TRUE,,positive,1,True=1,False=0,,,,,,,
Q_076,Extensión de acera Final,seg_ext_acera_fin,segment,intersections,intersections_positive,crossing_design,,,bool,TRUE,,positive,1,True=1,False=0,,,,,,,
Q_009,Tipo de paso peatonal Inicial,seg_tipo_paso_peatonal_ini,segment,intersections,intersections_positive,crossing_design,,,option,TRUE,,positive,2,A=1:Paso Cebra,B=1:Paso peatonal marcado con bandas de alta visibilidad,C=1: Diferente material al de la calzada,D=2:Plataforma única,E=0:Otro tipo,F=0:No hay paso peatonal,,,
Q_078,Tipo de paso peatonal Final,seg_tipo_paso_peatonal_fin,segment,intersections,intersections_positive,crossing_design,,,option,TRUE,,positive,2,A=1:Paso Cebra,B=1:Paso peatonal marcado con bandas de alta visibilidad,C=1: Diferente material al de la calzada,D=2:Plataforma única,E=0:Otro tipo,F=0:No hay paso peatonal,,,
### Ramps,,,,,,,,,,,,,4,,,,,,,,,
Q_011,Rampa lado derecho - Inicial,seg_rampa_der_ini,segment,intersections,intersections_positive,ramps,,,option,TRUE,,positive,1,A=1:Rampa alineada con el cruce,B=0:Rampa desplazada del cruce,C=0:No existe,,,,,,
Q_012,Rampa lado izquierdo - Inicial,seg_rampa_izq_ini,segment,intersections,intersections_positive,ramps,,,option,TRUE,,positive,1,A=1:Rampa alineada con el cruce,B=0:Rampa desplazada del cruce,C=0:No existe,,,,,,
Q_080,Rampa lado derecho - Final,seg_rampa_der_fin,segment,intersections,intersections_positive,ramps,,,option,TRUE,,positive,1,A=1:Rampa alineada con el cruce,B=0:Rampa desplazada del cruce,C=0:No existe,,,,,,
Q_081,Rampa lado izquierdo - Final,seg_rampa_izq_fin,segment,intersections,intersections_positive,ramps,,,option,TRUE,,positive,1,A=1:Rampa alineada con el cruce,B=0:Rampa desplazada del cruce,C=0:No existe,,,,,,
## Intersections Negative,,,,,,,,,,MAX=,,,-12,,,,,,,,,
### Crosswalk Discontinuity,,,,,,,,,,,,,-2,,,,,,,,,
Q_010,Continuidad del paso peatonal - Inicial,seg_cont_paso_peatonal_ini,segment,intersections,intersections_negative,crosswalk_discontinuity,,,bool,TRUE,,negative,-1,True=-1,False=0,,,,,,,
Q_079,Continuidad del paso peatonal - Final,seg_cont_paso_peatonal_fin,segment,intersections,intersections_negative,crosswalk_discontinuity,,,bool,TRUE,,negative,-1,True=-1,False=0,,,,,,,
### Intersection configuration,,,,,,,,,,,,,-6,,,,,,,,,
Q_005,Bocacalles de la intersección Inicial,seg_interseccion_ini,segment,intersections,intersections_negative,intersection_configuration,,,option,TRUE,,negative,-2,1=0,2=0,3=-1,4=-2,5+=-2,,,,
Q_074,Bocacalles de la intersección Final,seg_interseccion_fin,segment,intersections,intersections_negative,intersection_configuration,,,option,TRUE,,negative,-2,1=0,2=0,3=-1,4=-2,5+=-2,,,,
Q_006,Redondel Inicial,seg_redondel_ini,segment,intersections,intersections_negative,intersection_configuration,,,bool,TRUE,,negative,-1,True=-1,False=0,,,,,,,
Q_075,Redondel Final,seg_redondel_fin,segment,intersections,intersections_negative,intersection_configuration,,,bool,TRUE,,negative,-1,True=-1,False=0,,,,,,,
### Curbs height,,,,,,,,,,,,,-4,,,,,,,,,
Q_013,Alto de acera lado derecho - Inicial,seg_alto_acera_der_ini,segment,intersections,intersections_negative,curbs_height,,,option,TRUE,,negative,-1,A=0:0 cm,B=0:Menor a 20 cm,C=-1:Entre 20 - 40 cm,D=-1:Mayor a 40 cm,E=0:Acera inexistente,,,,
Q_014,Alto de acera lado izquierdo - Inicial,seg_alto_acera_izq_ini,segment,intersections,intersections_negative,curbs_height,,,option,TRUE,,negative,-1,A=0:0 cm,B=0:Menor a 20 cm,C=-1:Entre 20 - 40 cm,D=-1:Mayor a 40 cm,E=0:Acera inexistente,,,,
Q_082,Alto de acera lado derecho - Final,seg_alto_acera_der_fin,segment,intersections,intersections_negative,curbs_height,,,option,TRUE,,negative,-1,A=0:0 cm,B=0:Menor a 20 cm,C=-1:Entre 20 - 40 cm,D=-1:Mayor a 40 cm,E=0:Acera inexistente,,,,
Q_083,Alto de acera lado izquierdo - Final,seg_alto_acera_izq_fin,segment,intersections,intersections_negative,curbs_height,,,option,TRUE,,negative,-1,A=0:0 cm,B=0:Menor a 20 cm,C=-1:Entre 20 - 40 cm,D=-1:Mayor a 40 cm,E=0:Acera inexistente,,,,
,,,,,,,,,,,,,,,,,,,,,,
# DIVERSIDAD DE USOS DE SUELO,,,,,,,,,,MAX=,,,2,MIN=,0,,,,,,,
## Diversidad de Usos de Suelo Positive,,,,,,,,,,MAX=,,,2,,,,,,,,,
Q_018,Diversidad de Uos de Suelo,,segment,usos,usos,diversity_index,TRUE,,shannon,TRUE,,positive,2,"(>=1,<=1.5)=1",(>1.5)=2,*=0,,,,,,
### Alimentación,,,,,,,,,,,,,,,,,,,,,,
Q_018A1,RESTAURANTE DE COMIDA RÁPIDA,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018A2,RESTAURANTE BAR,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018A3,RESTAURANTE FAMILIAR,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018A4,CAFETERÍA / FUENTE DE SODA,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018A5,TIENDA DE ABARROTES,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018A6,TIENDA DE COMESTIBLES ESPECIALIZADA,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
## Residencial,,,,,,,,,,,,,,,,,,,,,,
Q_018B1,VIVIENDA UNIFAMILIAR,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018B2,VIVIENDA MULTIFAMILIAR,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018B3,DEPARTAMENTOS,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
## Comercial,,,,,,,,,,,,,,,,,,,,,,
Q_018C1,LICORERÍA,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018C2,FARMACIA,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018C3,Local abierto 24 horas,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018C4,OTRO COMERCIO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018C5,GRAN LOCAL COMERCIAL,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
## Recreativo,,,,,,,,,,,,,,,,,,,,,,
Q_018R1,ACADEMIA / GIMNASIO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018R2,EQUIPAMIENTO DEPORTIVO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018R3,PLAZA,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018R4,PARQUE PRIVADO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018R5,PARQUE PÚBLICO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
## Servicios,,,,,,,,,,,,,,,,,,,,,,
Q_018S1,BANCO / COOPERATIVA,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018S2,HOSPITAL / CLÍNICA,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018S3,PROFESIONALES DE LA SALUD,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018S4,CULTURAL,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018S5,OTRO SERVICIO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018S6,EQUIPAMENTO EDUCATIVO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018S7,TEMPLO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018S8,PARQUEADERO PÚBLICO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
Q_018S9,ENTRETENIMIENTO NOCTURNO,,parcel,usos,usos,diversity_index,,Q_018,formula,TRUE,,positive,,[value],,,,,,,,
